rank,school_name,state,school_sector,school_type,icsea,value_score,affordability_percentile,sa2_name
89,"St Ambrose's Primary School",QLD,"Catholic","Primary",1160,86.57,90.84,"Newmarket"
90,"Scotch Oakburn College",TAS,"Independent","Combined",1119,86.54,87.14,"Newstead"
91,"Our Lady of Lourdes School",VIC,"Catholic","Primary",1142,86.54,87.84,"Prahran - Windsor"
92,"Melbourne High School",VIC,"Government","Secondary",1195,86.52,86.29,"South Yarra - North"
93,"Brisbane Montessori School",QLD,"Independent","Combined",1128,86.52,84.88,"Fig Tree Pocket"
94,"Goulburn Valley Grammar School",VIC,"Independent","Combined",1128,86.5,87.27,"Shepparton - North"
95,"Telopea Park School",ACT,"Government","Combined",1153,86.44,91.74,"Barton"
96,"Malvern Primary School",VIC,"Government","Primary",1163,86.43,86.18,"Malvern - Glen Iris"
97,"Auburn High School",VIC,"Government","Secondary",1140,86.32,84.09,"Hawthorn East"
98,"Oakleigh State School",QLD,"Government","Primary",1153,86.31,90.78,"Ashgrove"
99,"The Hamilton and Alexandra College",VIC,"Independent","Combined",1107,86.29,88.93,"Hamilton (Vic.)"
100,"Camberwell Girls Grammar School",VIC,"Independent","Combined",1180,86.29,69.06,"Surrey Hills (West) - Canterbury"
101,"Mercedes College",SA,"Catholic","Combined",1133,86.27,88.45,"Mitcham (SA)"
102,"St Aidan's Anglican Girls School",QLD,"Independent","Combined",1168,86.24,81.33,"Corinda"
103,"Queenwood",NSW,"Independent","Combined",1172,86.23,69.35,"Mosman - North"
104,"Kamaruka",VIC,"Independent","Special",1094,86.22,86.29,"South Yarra - North"
105,"Radford College",ACT,"Independent","Combined",1203,86.21,83.73,"Bruce"
106,"The Scots College",NSW,"Independent","Combined",1162,86.16,70.56,"Bellevue Hill"
107,"Alice Springs Steiner School",NT,"Independent","Combined",1085,86.14,99.48,"Ross"
108,"Toowoomba Anglican School",QLD,"Independent","Combined",1132,86,88.31,"Toowoomba - East"
109,"Penrhos College",WA,"Independent","Combined",1143,85.94,77.96,"Como"
110,"Caulfield Grammar School",VIC,"Independent","Combined",1157,85.93,72.32,"Caulfield - North"
111,"Mentone Girls' Grammar School",VIC,"Independent","Combined",1174,85.92,67.78,"Mentone"
112,"Yerecoin Primary School",WA,"Government","Primary",1074,85.92,96.64,"Moora"
113,"Brisbane Independent School",QLD,"Independent","Primary",1135,85.89,79.12,"Pinjarra Hills - Pullenvale"
114,"Fairfield Primary School",VIC,"Government","Primary",1170,85.88,91.41,"Alphington - Fairfield"
115,"Hale School",WA,"Independent","Combined",1161,85.87,73.63,"Wembley Downs - Churchlands - Woodlands"
116,"Townsville Grammar School",QLD,"Independent","Combined",1116,85.83,89.34,"Townsville City - North Ward"
117,"Loreto College Coorparoo",QLD,"Catholic","Combined",1148,85.64,86.58,"Coorparoo"
118,"The Launceston Preparatory School",TAS,"Independent","Primary",1143,85.59,87.14,"Newstead"
119,"Curtin Primary School",ACT,"Government","Primary",1146,85.55,90.65,"Curtin"
120,"Chrysalis Montessori School",WA,"Independent","Primary",1168,85.37,90.72,"Wembley - West Leederville - Glendalough"
121,"Shirley Smith High School",ACT,"Government","Secondary",1078,85.37,99.82,"Kenny"
122,"Ballarat Clarendon College",VIC,"Independent","Combined",1172,85.34,83.01,"Ballarat"
123,"Loreto Kirribilli",NSW,"Independent","Combined",1189,85.32,71.74,"Neutral Bay - Kirribilli"
124,"Fairholme College",QLD,"Independent","Combined",1110,85.29,88.31,"Toowoomba - East"
125,"Kensington Primary School",VIC,"Government","Primary",1153,85.26,87.72,"Kensington (Vic.)"
126,"Rainworth State School",QLD,"Government","Primary",1206,85.25,92.02,"Bardon"
127,"Ivanhoe Grammar School",VIC,"Independent","Combined",1169,85.24,71.45,"Ivanhoe"
128,"St John's Grammar School",SA,"Independent","Combined",1141,85.18,84.54,"Belair"
129,"TSH (Teach, Speak, Hear)",WA,"Independent","Special",1097,85.12,90.72,"Wembley - West Leederville - Glendalough"
130,"Abbotsford Primary School",VIC,"Government","Primary",1143,85.11,84.8,"Abbotsford"
131,"St Peter's Collegiate Girls' School",SA,"Independent","Combined",1180,85.1,73.46,"Burnside - Wattle Park"
132,"Brisbane Girls Grammar School",QLD,"Independent","Secondary",1211,85.05,65.84,"Spring Hill"
133,"South Yarra Primary School",VIC,"Government","Primary",1152,84.99,90.35,"South Yarra - West"
134,"Bardon State School",QLD,"Government","Primary",1147,84.93,92.02,"Bardon"
135,"St Margaret Mary's School",VIC,"Catholic","Primary",1122,84.85,77.84,"Newport"
136,"St Aloysius' College",NSW,"Independent","Combined",1223,84.82,71.74,"Neutral Bay - Kirribilli"
137,"Red Hill Special School",QLD,"Government","Special",1090,84.79,82.44,"Red Hill (Qld)"
138,"Marist College Canberra",ACT,"Independent","Combined",1142,84.77,88.42,"Pearce"
139,"St Rita's College",QLD,"Catholic","Combined",1153,84.68,90.54,"Clayfield"
140,"Glenferrie Primary School",VIC,"Government","Primary",1160,84.66,91.21,"Hawthorn - South"
141,"North Ainslie Primary School",ACT,"Government","Primary",1145,84.58,93.1,"Ainslie"
142,"Perth Modern School",WA,"Government","Secondary",1230,84.55,83.33,"Subiaco - Shenton Park"
143,"Marist College Ashgrove",QLD,"Catholic","Combined",1139,84.54,90.78,"Ashgrove"
144,"Alice Miller School",VIC,"Independent","Combined",1139,84.43,75.65,"Macedon"
145,"Evelyn Scott School",ACT,"Government","Combined",1107,84.42,89.26,"Denman Prospect"
146,"Forrest Primary School",ACT,"Government","Primary",1145,84.4,94.55,"Forrest"
147,"Holy Rosary School",VIC,"Catholic","Primary",1149,84.37,87.72,"Kensington (Vic.)"
148,"Newmark Primary",VIC,"Independent","Primary",1134,84.36,76.62,"Williamstown"
149,"Anglican Church Grammar School",QLD,"Independent","Combined",1170,84.35,72.11,"East Brisbane"
150,"Greenwich Public School",NSW,"Government","Primary",1175,84.34,86.13,"Greenwich - Riverview"
151,"Brisbane Boys' College",QLD,"Independent","Combined",1164,84.28,68.74,"Toowong"
152,"The Essington School",NT,"Independent","Combined",1128,84.27,85.07,"Rapid Creek"
153,"Merici College",ACT,"Catholic","Secondary",1138,84.24,86.89,"Braddon"
154,"St Joseph's School",VIC,"Catholic","Primary",1156,84.11,91.21,"Hawthorn - South"
155,"Maroona Primary School",VIC,"Government","Primary",1064,84.1,95.99,"Ararat Surrounds"
156,"Leibler Yavneh College",VIC,"Independent","Combined",1123,84.1,83.89,"Elsternwick"
157,"St Mary of the Cross School",QLD,"Catholic","Primary",1100,84.09,79.9,"Windsor"
158,"St Finbarr's School",QLD,"Catholic","Primary",1151,84.05,90.78,"Ashgrove"
159,"Brindabella Christian College",ACT,"Independent","Combined",1154,84.04,84.19,"Lyneham"
160,"SCECGS Redlands",NSW,"Independent","Combined",1190,84,65.56,"Cremorne - Cammeray"
161,"Clifton Hill Primary School",VIC,"Government","Primary",1186,83.97,82.6,"Clifton Hill - Alphington"
162,"Brisbane Grammar School",QLD,"Independent","Combined",1210,83.94,65.84,"Spring Hill"
163,"Majura Primary School",ACT,"Government","Primary",1135,83.91,87.92,"Watson"
164,"Red Hill Primary School",ACT,"Government","Primary",1133,83.86,91.85,"Red Hill (ACT)"
165,"Methodist Ladies' College",WA,"Independent","Combined",1190,83.85,62.09,"Claremont (WA)"
166,"Essendon Primary School",VIC,"Government","Primary",1137,83.8,86.85,"Essendon - East"
167,"Babakin Primary School",WA,"Government","Primary",1054,83.79,96.06,"Merredin"
168,"Villanova College",QLD,"Catholic","Combined",1135,83.75,86.58,"Coorparoo"
169,"Ainslie School",ACT,"Government","Primary",1130,83.72,86.89,"Braddon"
170,"St Francis of Assisi Regional Catholic Primary School",NSW,"Catholic","Primary",1167,83.71,79.69,"Paddington - Moore Park"
171,"Northcote High School",VIC,"Government","Secondary",1153,83.71,78.24,"Northcote - West"
172,"Wilston State School",QLD,"Government","Primary",1165,83.68,92.44,"Grange"
173,"Sacred Heart Primary School",ACT,"Catholic","Primary",1131,83.66,88.42,"Pearce"
174,"Paddington Public School",NSW,"Government","Primary",1155,83.65,79.69,"Paddington - Moore Park"
175,"Fyans Park Primary School",VIC,"Government","Primary",1131,83.58,86.92,"Newtown (Vic.)"
176,"Mary Immaculate School",VIC,"Catholic","Primary",1147,83.57,71.45,"Ivanhoe"
177,"Hensman Street Elementary",WA,"Independent","Primary",1080,83.54,83.98,"South Perth - Kensington"
178,"Eltham College",VIC,"Independent","Combined",1139,83.53,68.63,"Research - North Warrandyte"
179,"Perth Montessori School",WA,"Independent","Combined",1115,83.53,74.03,"Victoria Park - Lathlain - Burswood"
180,"Our Lady Help of Christians School",VIC,"Catholic","Primary",1124,83.49,82.57,"Brunswick East"
181,"Yeronga State School",QLD,"Government","Primary",1126,83.49,84.42,"Yeronga"
182,"Armadale Primary School",VIC,"Government","Primary",1156,83.45,88.76,"Armadale"
183,"Woodline Primary",VIC,"Independent","Primary",1100,83.44,78.95,"Highton"
184,"Toowoomba Grammar School",QLD,"Independent","Combined",1096,83.41,88.31,"Toowoomba - East"
185,"St Joseph's School",QLD,"Catholic","Primary",1170,83.39,92.02,"Bardon"
186,"IES College",QLD,"Independent","Secondary",1125,83.37,65.84,"Spring Hill"
187,"Newcastle Grammar School",NSW,"Independent","Combined",1181,83.29,65.49,"Newcastle - Cooks Hill"
188,"Swinburne Senior Secondary College",VIC,"Government","Secondary",1093,83.26,91.21,"Hawthorn - South"
189,"Prince Alfred College",SA,"Independent","Combined",1143,83.23,66.35,"Norwood (SA)"
190,"Strathcona Baptist Girls' Grammar",VIC,"Independent","Combined",1135,83.22,69.06,"Surrey Hills (West) - Canterbury"
191,"St Mary's Anglican Girls' School",WA,"Independent","Combined",1151,83.17,65.68,"Karrinyup - Gwelup - Carine"
192,"School Of Isolated and Distance Education",WA,"Government","Combined",1063,83.16,89.75,"Mount Hawthorn - Leederville"
193,"Concordia College (St Peters Campus, Blackwood)",SA,"Independent","Primary",1119,83.13,79.02,"Blackwood"
194,"Concordia College",SA,"Independent","Combined",1140,83.1,78.61,"Unley - Parkside"
195,"Saint Ignatius' College",SA,"Catholic","Combined",1151,83.08,71.11,"Athelstone"
196,"Murrumbeena Primary School",VIC,"Government","Primary",1161,83.07,79.06,"Murrumbeena"
197,"St Mary's College Melbourne",VIC,"Catholic","Secondary",1093,83.07,87.05,"St Kilda East"
198,"Ashgrove State School",QLD,"Government","Primary",1183,83.05,90.78,"Ashgrove"
199,"Christ Church Grammar School",WA,"Independent","Combined",1193,82.87,62.09,"Claremont (WA)"
200,"Mount Alvernia College",QLD,"Catholic","Secondary",1115,82.81,84.57,"Kedron - Gordon Park"
201,"St Thomas More's Primary School",ACT,"Catholic","Primary",1145,82.72,92.24,"Campbell"
202,"Newstead Christian School",TAS,"Independent","Combined",1080,82.71,87.14,"Newstead"
203,"Carey Baptist Grammar School",VIC,"Independent","Combined",1177,82.59,57.78,"Kew - South"
204,"Newington College",NSW,"Independent","Combined",1182,82.57,59.17,"Petersham - Stanmore"
205,"Omni Academies of Learning",QLD,"Independent","Secondary",1151,82.52,68.74,"Toowong"
206,"Fitzroy North Primary School",VIC,"Government","Primary",1150,82.49,73.84,"Fitzroy North"
207,"Petrie Terrace State School",QLD,"Government","Primary",1130,82.46,86.15,"Paddington - Milton"
208,"Hawthorn West Primary School",VIC,"Government","Primary",1165,82.44,88.53,"Hawthorn - North"
209,"Daramalan College",ACT,"Independent","Secondary",1127,82.43,76.7,"Dickson"
210,"Eagle Junction State School",QLD,"Government","Primary",1153,82.43,90.54,"Clayfield"
